TrackPos,KF_CV_sw18E2,KF_CV_sw18,KF_CV_sw18E-2,KF_CA_sw18E5,KF_CA_sw18E3,KF_CA_sw18E1
0,1.8240660145066558e-07,0.013910227209848986,0.13985776639286698,5.0866924088097315e-09,0.8462307881419289,1.030762062888316e-06
1,9.32996256316414e-10,2.4138353570976773e-07,0.1999671394185137,1.1459888263443506e-14,0.8000326124963018,5.768641425075452e-09
2,1.1483365244091137e-07,0.00021193171274392513,0.27017788193225356,5.293295532059776e-10,0.7296095452133359,5.257786849696242e-07
3,9.557109214553142e-05,0.06970656427846632,0.08567531958976185,0.005072200198044304,0.8391612529403998,0.00028909190118292136
4,3.6252831552820177e-06,0.4526009355194769,0.05313440534453395,0.017487834856925587,0.4767527503607251,2.044863518365471e-05
5,2.1407075525475805e-06,0.45080660374970266,0.05277966350281001,0.015729907087125187,0.48066889239016836,1.2792562641129708e-05
6,1.0671717628583391e-06,0.46112750710194733,0.04946912975421269,0.014027300329214556,0.4753687543720696,6.2412707928479806e-06
7,5.016755240287043e-07,0.47457186837940063,0.04591545514415679,0.011315964126166039,0.4681933589302583,2.851744494466519e-06
8,2.1457945603223653e-07,0.490699227639596,0.043977545895209046,0.0068679821352195395,0.45845366689253086,1.3628579884855673e-06
9,1.089537385508398e-07,0.5024556326159184,0.041432723706485305,0.003159393525921482,0.4529513628206126,7.783773235641008e-07
10,7.86308100552911e-08,0.5029119459399259,0.040793516918036475,0.0013477182214864064,0.45494612258976674,6.176999742241549e-07
11,7.821876710471765e-08,0.4862439191320398,0.04468820865500279,0.001454466635692891,0.4676126713400053,6.560184915695039e-07
12,7.965971303383718e-08,0.466603126214554,0.05073664756035625,0.001679359396286904,0.4809800799226096,7.072464807352558e-07
13,8.084343090756752e-08,0.4538588217276729,0.05710207542602236,0.0019190575967593046,0.4871192080699131,7.563362020267328e-07
14,8.051267569568951e-08,0.4584383217319574,0.05881693335959087,0.0018267618622597487,0.4809171139245185,7.886089969648935e-07
15,7.815865561192705e-08,0.4649745540864157,0.059941177754801823,0.0014678064297926347,0.4736156063885554,7.771817787016182e-07
16,7.48103106072283e-08,0.4727742385049898,0.06052118734482414,0.0012130795841586348,0.465490677925048,7.418306687829241e-07
17,7.147484963929885e-08,0.48092989103604983,0.060549125131973906,0.0008608795348890728,0.4576593286735525,7.041486850525021e-07
18,6.626746230384828e-08,0.48863953282083333,0.061381128777400845,0.0006326383051585291,0.44934597857467223,6.5525447203009e-07
19,5.7982591528746344e-08,0.49969563411556567,0.06322471764478804,0.0005454684142653728,0.4365335301101301,5.917326585804947e-07
20,4.314777633320897e-08,0.5209526075327677,0.06554145911583276,0.0005966116728668082,0.412908801015298,4.775154581236257e-07
21,3.037477252881529e-08,0.5278112322522805,0.06946835829470094,0.00045402755973313546,0.4022659819810395,3.695374732533613e-07
22,2.3612735853057882e-08,0.6101561310115023,0.054037235912724677,0.0006036944211540147,0.3352025963701071,3.186717760203759e-07
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
