TrackPos,LSTM_1024_16,MLP_16_16_16,KF_CA_sw18E3
0,0.08913665382093797,,0.9108633461790623
1,0.021626384741996796,,0.9783736152580047
2,0.02842374080824463,,0.9715762591917553
3,0.03626809678362773,,0.9637319032163718
4,0.045797520015712266,0.17031935066095064,0.7838831293233371
5,0.08442233920505994,0.1321452617221459,0.7834323990727933
6,0.1560675653874187,0.1324464886049049,0.7114859460076767
7,0.170837620027479,0.14209524309207813,0.6870671368804429
8,0.14430302665098257,0.15668312458376868,0.6990138487652492
9,0.127799415413166,0.1736399809815242,0.6985606036053105
10,0.13625536294740812,0.17231212236671087,0.6914325146858811
11,0.16005547785165058,0.1630502162398304,0.6768943059085184
12,0.18477452116740412,0.15384626028759799,0.6613792185449974
13,0.2100010215002647,0.14526744970738298,0.6447315287923525
14,0.23370082274694237,0.13816466588153958,0.6281345113715174
15,0.25573187375629297,0.13279904480779658,0.6114690814359094
16,0.2750096226842457,0.13028713979564105,0.5947032375201131
17,0.2907497806308833,0.13051185575411667,0.5787383636149996
18,0.299487760406424,0.13550176878406828,0.5650104708095076
19,0.30500708032318646,0.1450927486516815,0.5499001710251322
20,0.30818397353453514,0.16246912559327725,0.5293469008721879
21,0.31391667551427266,0.1788559011393884,0.507227423346339
22,0.3026850904875037,0.22318732097885155,0.47412758853364473
23,,,
24,,,
25,,,
26,,,
